campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
tipo_estudo_futuro,"Foresight, Anticipatory Governance","foresight, anticipatory governance",Foresight e Governança Antecipatória,"Foresight, Governança",alta,aplicar automático,Traduzir e padronizar conectivo.,True,1
tipo_estudo_futuro,"Foresight, Governança Antecipatória, Foresight Estratégico","foresight, governanca antecipatoria, foresight estrategico",Foresight Estratégico e Governança Antecipatória,"Foresight, Governança",alta,aplicar automático,Priorizar 'Foresight Estratégico' e padronizar conectivo.,True,1
tipo_estudo_futuro,Megatendências,megatendencias,Análise de Megatendências,Análise de Tendências,alta,aplicar automático,Transformar o tema em tipo de estudo/análise.,True,1
tipo_estudo_futuro,Modelagem integrada de cenários,modelagem integrada de cenarios,Cenários Prospectivos e Modelagem,"Cenários, Modelagem",alta,aplicar automático,Padronizar 'Cenários' e explicitar 'Modelagem'.,True,1
tipo_estudo_futuro,Planejamento Estratégico,planejamento estrategico,Planejamento Estratégico,Planejamento,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Planejamento Estratégico Prospectivo,planejamento estrategico prospectivo,Planejamento Estratégico Prospectivo,Planejamento,alta,manter original,Valor específico e adequado.,True,1
tipo_estudo_futuro,Planejamento Estratégico de Longo Prazo,planejamento estrategico de longo prazo,Planejamento Estratégico de Longo Prazo,Planejamento,alta,manter original,Valor específico e adequado.,True,1
tipo_estudo_futuro,"Planejamento Estratégico, Estudo de Cenários, Projeções","planejamento estrategico, estudo de cenarios, projecoes","Planejamento Estratégico, Cenários Prospectivos e Projeção","Planejamento, Cenários, Projeção",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,Planejamento prospectivo,planejamento prospectivo,Planejamento Prospectivo,Planejamento,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,Planejamento prospectivo de intervenções e investimentos,planejamento prospectivo de intervencoes e investimentos,Planejamento Prospectivo de Intervenções e Investimentos,Planejamento,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,"Planejamento, Cenários, Projeções","planejamento, cenarios, projecoes","Planejamento, Cenários Prospectivos e Projeção","Planejamento, Cenários, Projeção",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,Plano,plano,Plano,Plano,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Plano Estratégico,plano estrategico,Plano Estratégico,Plano,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,"Plano Estratégico de Desenvolvimento de Longo Prazo, Visão de Futuro, Estudos de Cenários","plano estrategico de desenvolvimento de longo prazo, visao de futuro, estudos de cenarios","Plano Estratégico de Desenvolvimento de Longo Prazo, Visão de Futuro e Cenários Prospectivos","Plano, Visão de Futuro, Cenários",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,Plano Estratégico de Longo Prazo,plano estrategico de longo prazo,Plano Estratégico de Longo Prazo,Plano,alta,manter original,Valor específico e adequado.,True,1
tipo_estudo_futuro,Plano de Desenvolvimento Integrado,plano de desenvolvimento integrado,Plano de Desenvolvimento Integrado,Plano,alta,manter original,Valor específico e adequado.,True,1
tipo_estudo_futuro,Prognóstico,prognostico,Prognóstico,Projeção,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Projeção,projecao,Projeção,Projeção,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,"Projeção Econômica, Planejamento Estratégico","projecao economica, planejamento estrategico",Projeção Econômica e Planejamento Estratégico,"Projeção, Planejamento",alta,aplicar automático,Padronizar conectivo.,True,1
tipo_estudo_futuro,"Projeção demográfica, Cenários","projecao demografica, cenarios",Projeção Demográfica e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar termos e conectivo.,True,1
tipo_estudo_futuro,Projeção econômica,projecao economica,Projeção Econômica,Projeção,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,"Projeção, Análise de Cenários, Modelagem","projecao, analise de cenarios, modelagem","Projeção, Cenários Prospectivos e Modelagem","Projeção, Cenários, Modelagem",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,"Projeção, Cenário","projecao, cenario",Projeção e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar termos e conectivo.,True,1
tipo_estudo_futuro,"Projeção, Cenários","projecao, cenarios",Projeção e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar termos e conectivo.,True,1
tipo_estudo_futuro,"Projeção, Cenários Prospectivos","projecao, cenarios prospectivos",Projeção e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar conectivo.,True,1
tipo_estudo_futuro,"Projeção, Modelagem","projecao, modelagem",Projeção e Modelagem,"Projeção, Modelagem",alta,aplicar automático,Padronizar conectivo.,True,1
tipo_estudo_futuro,"Projeção, Modelagem Econômica, Análise de Cenários","projecao, modelagem economica, analise de cenarios","Projeção, Modelagem Econômica e Cenários Prospectivos","Projeção, Modelagem, Cenários",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,Projeções,projecoes,Projeção,Projeção,alta,aplicar automático,Padronizar para singular.,True,1
tipo_estudo_futuro,Projeções e Cenários,projecoes e cenarios,Projeção e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar para singular e 'Cenários'.,True,1
tipo_estudo_futuro,"Projeções, Cenários","projecoes, cenarios",Projeção e Cenários Prospectivos,"Projeção, Cenários",alta,aplicar automático,Padronizar para singular e 'Cenários'.,True,1
tipo_estudo_futuro,"Prospectiva Estratégica, Planejamento por Cenários","prospectiva estrategica, planejamento por cenarios",Prospectiva Estratégica e Planejamento por Cenários,"Prospectiva, Planejamento, Cenários",alta,aplicar automático,Padronizar conectivo.,True,1
tipo_estudo_futuro,Prospecção,prospeccao,Prospecção,Prospecção,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Prospecção Estratégica,prospeccao estrategica,Prospecção Estratégica,Prospecção,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Prospecção de Cenários,prospeccao de cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,A prospecção de cenários é o processo que resulta em Cenários Prospectivos.,True,1
tipo_estudo_futuro,Prospecção de políticas,prospeccao de politicas,Prospecção de Políticas,Prospecção,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,Scenarios,scenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,Traduzir e padronizar para o termo completo.,True,1
tipo_estudo_futuro,Signals scanning,signals scanning,Análise de Sinais,Análise de Sinais,alta,aplicar automático,Traduzir e padronizar.,True,1
tipo_estudo_futuro,Simulação de Cenários,simulacao de cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,A simulação é uma etapa ou tipo de trabalho dentro de Cenários Prospectivos.,True,1
tipo_estudo_futuro,Strategic Foresight,strategic foresight,Foresight Estratégico,Foresight,alta,aplicar automático,Traduzir e padronizar.,True,1
tipo_estudo_futuro,Strategic planning,strategic planning,Planejamento Estratégico,Planejamento,alta,aplicar automático,Traduzir e padronizar.,True,1
tipo_estudo_futuro,Visão,visao,Visão de Futuro,Visão de Futuro,alta,aplicar automático,Generalizar para o termo completo no contexto de futuro.,True,1
tipo_estudo_futuro,Visão Estratégica,visao estrategica,Visão Estratégica,Visão de Futuro,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Visão de Futuro,visao de futuro,Visão de Futuro,Visão de Futuro,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,"['Estudo de Cenários', 'Visão de Futuro']","['estudo de cenarios', 'visao de futuro']",Cenários Prospectivos e Visão de Futuro,"Cenários, Visão de Futuro",alta,aplicar automático,"Parsear lista, padronizar 'Estudo de Cenários' e conectivo.",True,1
tipo_estudo_futuro,"['Planejamento Estratégico', 'Projeção de Metas']","['planejamento estrategico', 'projecao de metas']",Planejamento Estratégico e Projeção de Metas,"Planejamento, Projeção",alta,aplicar automático,Parsear lista e padronizar conectivo.,True,1
tipo_estudo_futuro,prospectiva estratégica,prospectiva estrategica,Prospectiva Estratégica,Prospectiva,alta,aplicar automático,Padronizar caixa.,True,1
